name,kuerzel
Aarhus,AAR_DK
Aberdeen,ABD_UK
AlteWeser,WA_ALW
AlteWeser,ALW
AlteWeser,DIA_ALW
AlteWeser,Alte_Weser
Amrum1,WA_AMR
Anholt,ANH_DK
Antifer,ANT_FR
Aussenweser,CU_AW1
BakeA,BKA
BakeZ,BKZ
Ballum,BALM_DK
Bath,BAT_NL
Bensersiel,BEN
Bergen,BER_N
Bhv2006MP,CU_BHV3
BhvSU,CU_BHV2
Blankenberge,BLA_B
Blankenese,BLAN
Blankenese,Blankenese
BlexenReede,DIA_BLX
BorkumF,BOF
BorkumS,BOS
Boulogne,BOU_FR
Bournemouth,BOU_UK
Brake,BRA
Bremerhaven,BAL
Bremerhaven,Bremerhaven
Bremerhaven2,SA_BHV
BremerhavenStr,CU_BHV1
BrouwershavenscheGat8,BRO_NL
Brunsbuettel,BRUN
Brunsbuettel,Brunsbuettel
Buesum,BUS
Buesum,WA_BUE
Bunkerhill,Bunkerhill
Bunthaus,BUNT
Calais,CAL_FR
Cherbourg,CHE_FR
Cromer,CRO_UK
CT,DIA_CT
Cuxhaven,CUX
Cuxhaven,Cuxhaven
Dagebuell,DAG
Delfzijl,DEL
DenHelder,DHD_NL
DenOever,DOE_NL
DeutscheBucht,WA_DB
Devonport,DEV_UK
Dieppe,DIP_FR
Dover,DOV_UK
Dukegat,DUK
Dunkerque,DUN_FR
Dwarsgat,SA_DWG
Dwarsgat,DWG
Dwarsgat,Dwarsgat
DwarsgatSoM2002,CU_DWG1
DwarsgatSU,CU_DWG2
Eemshaven,EEM
EidersperrwerkAP,EISP
Eidertonne,EID_TN
Elbe,WA_EL
Elbe,Elbe
Elbe1,DIA_EL1
Elbe2,DIA_EL2
Elbe3,DIA_EL3
Elbe4,DIA_EL4
Elbe5,DIA_EL5
Elbe6,DIA_EL6
Elbe7,DIA_EL7
Elbe8,DIA_EL8
Elbe9,DIA_EL9
ElbeD1,D1
ElbeD1o,D1o
ElbeD1u,D1u
ElbeD2,D2
ElbeD2o,D2o
ElbeD2u,D2u
ElbeD3,D3
ElbeD3o,D3o
ElbeD3u,D3u
ElbeD4,D4
ElbeD4,Elbe_D4
ElbeD4o,D4o
ElbeD4s,D4s
ElbeD4u,D4u
ElbeLZ1,LZ1t
ElbeLZ1,CU_LZ1
ElbeLZ1,LZ1
ElbeLZ1,Elbe_LZ1
ElbeLZ1a,CU_LZ1A
ElbeLZ1a,LZ1a
ElbeLZ1b,CU_LZ1B
ElbeLZ1b,LZ1b
ElbeLZ1Tonne,CU_LZ1T
ElbeLZ2,LZ2t
ElbeLZ2,CU_LZ2
ElbeLZ2,LZ2
ElbeLZ2,Elbe_LZ2
ElbeLZ2a,CU_LZ2A
ElbeLZ2a,LZ2a
ElbeLZ2Tonne,CU_LZ2T
ElbeLZ3,LZ3
ElbeLZ3,Elbe_LZ3
ElbeLZ31,CU_LZ3-1
ElbeLZ32,CU_LZ3-2
ElbeLZ3a,LZ3a
ElbeLZ3a,CU_LZ3A
ElbeLZ4,LZ4
ElbeLZ4,CU_LZ4
ElbeLZ4,Elbe_LZ4
ElbeLZ4a,LZ4a
ElbeLZ4a,CU_LZ4A
ElbeLZ4b,CU_LZ4B
ElbeLZ4b,LZ4b
ElbeLZ4b,Elbe_LZ4b
ElbeLZ4bTonne,LZ4bt
ElbeLZ4bTonne,CU_LZ4T
ElbeLZ4c,CU_LZ4c
ElbeLZ4c,LZ4c
ElbeLZ5,LZ5
ElbeLZ5,CU_LZ5
ElbeLZ5,Elbe_LZ5
ElbeLZ5Tonne,CU_LZ5T
Elsfleth,EFL
Emden,EMD
EmdenEms39.90km,CU_EMD
EmdenWestmole,SA_EMD
Emshoern,WA_EMS
Emshoern,EMS
Esbjerg,ESB_DK
Europlatform,EUP_NL
Fedje1,WA_FED
Fehmarnbelt,FEH_DK
Felixstowe,FEL_UK
Felixstowe,WA_FEL
Ferring,FER_DK
FINO1,WA_FINO-I
FINO1,FIN1
FINO1,FINO-I
FINO1,FINO1
FINO3,WA_FINO-III
FINO3,FIN3
Fredericia,FRE_DK
Frederikshavn,FHN_DK
Fynshav,FYN_DK
Gandersum,GAN
Gandersum,Gandersum
Gatjebogen,GAT
GatjebogenOG1,CU_OG1
GatjebogenOG2,CU_OG2
GatjebogenOG3,CU_OG3
GatjebogenOG4,CU_OG4
GatjebogenOG5,CU_OG5
GatjebogenOG6,CU_OG6
Gedser,GED_DK
Glueckstadt,GLUE
Grauerort,GRAU
GVogelsand,VOG
Hanstholm,HAN_DK
Hansweert,HAN_NL
Harburg,HAR
Haringvliet,HVL_NL
Haringvlietsluizen,HAS_NL
Harlesiel,HARS
Harlingen,HAR_NL
Harwich,HAR_UK
Helgeroa,HEL_N
Helgoland,HEL
Helgoland,WA_HEL
Helgoland,Helgoland
HelgolandWR,HelgolandWR
Herbrum,HER
Hev1,DIA_Hev1
Hev2,DIA_Hev2
Hev3,DIA_Hev3
Hev4,DIA_Hev4
Hev5,DIA_Hev5
Hirtshals,HIR_DK
HoekvanHolland,HVH_NL
HoernumHafen,HOH
HoernumI,WA_HOR4
HoernumLoch1,WA_HOR3
HoernumTief,HoernumTief
HoernumTief1,WA_HOR1
HoernumTief1,HoernumTief1
HoernumTief2,WA_HOR2
HoernumWest,HOW
Hooksielplate,HOO
Hornbaek,HOR_DK
Huibertgat,HUI_NL
Huibertgat,HUI
