name,kuerzel
Aarhus,AAR_DK
Aberdeen,ABD_UK
AlteWeser,WA_ALW
AlteWeser,ALW
AlteWeser,Alte_Weser
Amrum1,WA_AMR
Anholt,ANH_DK
Antifer,ANT_FR
Aussenweser,CU_AW1
BakeA,BKA
BakeZ,BKZ
Ballum,BALM_DK
Bath,BAT_NL
Bensersiel,BEN
Bergen,BER_N
Bhv_2006_MP,CU_BHV3
Bhv_SU,CU_BHV2
Blankenberge,BLA_B
Blankenese,BLAN
Blexen_Reede,DIA_BLX
Borkum_F,BOF
Borkum_S,BOS
Boulogne,BOU_FR
Bournemouth,BOU_UK
Brake,BRA
Bremerhaven,BAL
Bremerhaven2,SA_BHV
Bremerhaven_Str,CU_BHV1
BrouwershavenscheGat8,BRO_NL
Brunsbuettel,BRUN
Buesum,BUS
Buesum,WA_BUE
Bunthaus,BUNT
CT,DIA_CT
Calais,CAL_FR
Cherbourg,CHE_FR
Cromer,CRO_UK
Cuxhaven,CUX
Dagebuell,DAG
Delfzijl,DEL
Den_Helder,DHD_NL
Den_Oever,DOE_NL
Deutsche_Bucht,WA_DB
Devonport,DEV_UK
Dieppe,DIP_FR
Dover,DOV_UK
Dukegat,DUK
Dunkerque,DUN_FR
Dwarsgat,SA_DWG
Dwarsgat,DWG
Dwarsgat_SU,CU_DWG2
Dwarsgat_SoM2002,CU_DWG1
Eemshaven,EEM
Eidersperrwerk_AP,EISP
Eidertonne,EID_TN
Elbe,WA_EL
Elbe1,DIA_EL1
Elbe2,DIA_EL2
Elbe3,DIA_EL3
Elbe4,DIA_EL4
Elbe5,DIA_EL5
Elbe6,DIA_EL6
Elbe7,DIA_EL7
Elbe8,DIA_EL8
Elbe9,DIA_EL9
Elbe_D1,D1
Elbe_D2,D2
Elbe_D3,D3
Elbe_D4,D4
Elbe_LZ1,LZ1t
Elbe_LZ2,LZ2t
Elbe_LZ3,LZ3
Elbe_LZ3a,LZ3a
Elbe_LZ4,LZ4
Elbe_LZ4a,LZ4a
Elbe_LZ4b,LZ4bt
Elbe_LZ5,LZ5
Elsfleth,EFL
Emden,EMD
Emden_Ems39.90km,CU_EMD
Emden_Westmole,SA_EMD
Emshoern,WA_EMS
Emshoern,EMS
Esbjerg,ESB_DK
Europlatform,EUP_NL
FINO1,WA_FINO-I
FINO_III,WA_FINO-III
FINO_III,FIN3
FINO_I,FIN1
Fedje1,WA_FED
Fehmarnbelt,FEH_DK
Felixstowe,FEL_UK
Ferring,FER_DK
Fredericia,FRE_DK
Frederikshavn,FHN_DK
Fynshav,FYN_DK
GVogelsand,VOG
Gandersum,GAN
Gatjebogen,GAT
Gatjebogen_OG1,CU_OG1
Gatjebogen_OG2,CU_OG2
Gatjebogen_OG3,CU_OG3
Gatjebogen_OG4,CU_OG4
Gatjebogen_OG5,CU_OG5
Gatjebogen_OG6,CU_OG6
Gedser,GED_DK
Glueckstadt,GLUE
Grauerort,GRAU
Hanstholm,HAN_DK
Hansweert,HAN_NL
Harburg,HAR
Haringvliet,HVL_NL
Haringvlietsluizen,HAS_NL
Harlesiel,HARS
Harlingen,HAR_NL
Harwich,HAR_UK
Helgeroa,HEL_N
Helgoland,HEL
Helgoland,WA_HEL
Herbrum,HER
Hev1,DIA_Hev1
Hev2,DIA_Hev2
Hev3,DIA_Hev3
Hev4,DIA_Hev4
Hev5,DIA_Hev5
Hirtshals,HIR_DK
HoekvanHolland,HVH_NL
Hoernum_I,WA_HOR4
HoernumLoch1,WA_HOR3
HoernumTief1,WA_HOR1
HoernumTief2,WA_HOR2
Hoernum_Hafen,HOH
Hoernum_West,HOW
Hooksielplate,HOO
Hornbaek,HOR_DK
Hubertgat,HUI_NL
Husum,HUS
Hvidesande,HVI_DK
IJmuiden,IJB_NL
Immingham,IMM_UK
Jade_I1,WA_JAD-I1
Jade_I2,WA_JAD-I2
Jade_II,WA_JAD-II
Juist,JUI
K13_Alpha,K13_NL
Knock,KNO
Knock_Ems50.85km,CU_KNO
Knock2,SA_KNO
Kobenhaven,KOB_DK
Kornwerderzand,KOR_NL
Korsor,KOR_DK
LT_ALW,DIA_ALW
LTKiel,LTK
LZ1,CU_LZ1
LZ1_Tonne,CU_LZ1T
LZ1a,CU_LZ1A
LZ1b,CU_LZ1B
LZ2,CU_LZ2
LZ2_Tonne,CU_LZ2T
LZ2a,CU_LZ2A
LZ3_1,CU_LZ3-1
LZ3_2,CU_LZ3-2
LZ3a,CU_LZ3A
LZ4,CU_LZ4
LZ4a,CU_LZ4A
LZ4b,CU_LZ4B
LZ4b_Tonne,CU_LZ4T
LZ4c,CU_LZ4c
LZ5,CU_LZ5
LZ5_Tonne,CU_LZ5T
Langeoog,LAN
Lauwersoog,LAU_NL
LeHavre,HAV_FR
Leer_Leda,LEL
Leer_Ort,LEO
Leith,LEI_UK
Leith,LEI
Lerwick,LER_UK
Leybucht,LEY
Lichteiland-Goeree,LEG_NL
List,LIH
List,WA_LST
List_West,LIW
Lowestoft,LOW_UK
Medem1,DIA_MED1
Medem2,DIA_MED2
Medem3,DIA_MED3
Medem4,DIA_MED4
Medem5,DIA_MED5
Medem6,DIA_MED6
Noordwijk,NWM_NL
Mellumplate,MPL
Mittelgrund,MGR
Mommark,MOM_DK
Moray_Firth,MOR_UK
NP1,DIA_NP1
NP2,DIA_NP2
NP3,DIA_NP3
Nes,NES_NL
Newhaven,NHA_UK
