name,RW,HW,Latitude,StationNo
Roscoff,-435386.7187,5478869,48.75361038,1
StMalo,-313820.6562,5449267.5,48.66250532,2
StHelierJersey,-310895.1875,5505562.5,49.16325858,3
Cherbourg,-265657.6873,5554060.523,49.64995055,4
LeHavre,-144886.0848,5513777.56,49.43296355,5
Antifer,-141463.3594,5537876,49.65073538,6
Dieppe,-68511.1719,5564989.5,49.9653042,7
Boulogne,-25527.6702,5646753.247,50.7338591,8
Calais,-592.5973,5674190.249,51.00067778,9
Dunkerque,34953.2078,5679433.102,51.07729931,10
Nieuwpoort,59805.2944,5689317.114,51.18522326,11
Ostende,73423.8663,5696766.116,51.2621377,12
Blankenberge,88521.8471,5703739.304,51.33559383,13
Zeebruges,96249.7668,5707474.799,51.37454521,14
Terneuzen,140863.9349,5701630.051,51.35216055,15
Bath,167006.4961,5703794.135,51.38746468,16
Hansweert,151293.7843,5709669.819,51.43066772,17
Vlissingen,124897.3303,5710959.355,51.42537322,18
Westkapelle,113546.8835,5721642.109,51.51335995,19
Roompotbuiten,130880.9799,5731887.985,51.61667004,20
Europlatform,107714.3123,5776478.223,51.99996697,21
BrouwershavenscheGat8,142310.4441,5746637.073,51.75611701,22
LichteilandGoeree,133325.0674,5765219.67,51.91667159,23
Haringvliet,146674.725,5758673.258,51.86667164,24
Haringvlietsluizen,156850.6573,5756226.215,51.85110022,25
HoekvanHolland,163370.0887,5773192.428,52.00705378,26
Scheveningen,172679.3993,5786241.2,52.12952906,27
Noordwijk,179364.762,5801109.252,52.26667036,28
IJmuiden,189747.997,5823980.186,52.47758976,29
Pettenzuid,203837.1135,5854846.757,52.76209335,30
K13Alpha,114023.0451,5911997.15,53.21666579,31
DenHelder,214511.7656,5877521.5,52.97111539,32
Texel,214516.9417,5893758.213,53.11667238,33
DenOever,236563.1094,5876227.154,52.97079102,34
Kornwerderzand,253286.1094,5887448.5,53.07940882,35
Harlingen,258959.2278,5896808.891,53.16597472,36
Vlielandhaven,241147.8594,5912656,53.29974257,37
WestTerschelling,249190.1757,5918429.295,53.35539251,38
Terschelling,256551.2663,5928589.226,53.44997053,39
Nes,286336.3835,5924854.64,53.42937074,40
Wierumergronden,298910.3952,5934029.949,53.516673,41
Schiermannskoog,313879,5927694,53.46530135,42
Lauwersoog,313936.3735,5922275.594,53.41667511,43
Huibertgat,327833.8777,5938455.106,53.5666757,44
BorkumS,345118.587,5938997.046,53.5769289,45
BorkumF,350827.7065,5936646.762,53.55747402,46
Emshoern,356657.316,5927947.651,53.48096069,47
Eemshaven,357124.7188,5925471,53.45884156,48
Dukegat,362233.735,5922511.921,53.43362132,49
Delfzijl,362544.9063,5911807.5,53.33754479,50
GatjebogenOG3,368090.7828,5910293.393,53.32535428,51
GatjebogenOG5,367936.9234,5909538.976,53.31853857,52
GatjebogenOG6,368705.9138,5909947.103,53.32239626,53
Dwarsgat,375194.5994,5904157.106,53.27194728,54
Pogum,384019.625,5909490.5,53.32187008,55
Ditzum,385899.5036,5909448.674,53.32190274,56
Weener,391206.3874,5891396.708,53.16081533,57
Papenburg,390593.001,5885555.528,53.10820339,58
Herbrum,386987.425,5877096.126,53.03144055,59
LeerLeda,397864.5824,5897000.923,53.21249313,60
LeerOrt,394901.874,5897353.524,53.21508397,61
Terborg,393229.143,5905656.506,53.28935733,62
Gandersum,387667.993,5909437.111,53.32217702,63
Emssperrwerk,387231.4187,5909315.324,53.32098995,64
EmdenEms3990km,379689.2048,5910811.109,53.33276874,65
Emden,379091.2369,5910861.579,53.33308591,66
EmdenWestmole,378429.9063,5910944,53.33367491,67
Knock,368848.4452,5910478.143,53.32720225,68
Knock2,368849.1745,5910492.364,53.32733018,69
KnockEms5085km,368847.4059,5910545.473,53.32780686,70
GatjebogenOG4,368703.4289,5910242.215,53.32504682,71
Gatjebogen,368700.62,5910240,53.32502622,72
GatjebogenOG2,368734.7329,5910702.282,53.32918764,73
GatjebogenOG1,368200.3364,5910799.08,53.32992444,74
Leybucht,370291.1284,5935257.56,53.55016459,75
Juist,363766.4828,5947658.574,53.65990709,76
FINO1,341941.155,5987867.911,54.01485805,77
NorderneyRiffgat,378382.7643,5950911.994,53.69273825,78
DeutscheBucht,398750.7615,6002997.248,54.1650572,79
Langeoog,401137.575,5953772.852,53.7232464,80
Bensersiel,405564.9226,5948917.705,53.68044026,81
OtzumI,411332.4923,5957492.541,53.75850302,82
Spiekeroog,413087.55,5956434.192,53.74928847,83
Harlesiel,424080.1752,5955333.534,53.74111438,84
TonneE3,428872.7585,5990745.29,54.06001654,85
TonneH0,428694.5757,6000392.763,54.14668538,86
VTG1,430834.864,5984038.632,54.00001524,87
VTG2,429609.205,5988230.164,54.03751606,88
WangeroogeNord,429492.4278,5962510.21,53.80636889,89
TonneA2,433241.3028,5975842.983,53.92668123,90
Elbe,442108.56,5983881.27,53.99998767,91
AlteWeser,442631.2109,5968666.713,53.86331315,92
Mellumplate,440199.1467,5958497.775,53.7716498,93
Tonne5,449156.7475,5964885.855,53.83001351,94
Schillig,437088.3604,5950440.997,53.69887651,95
So07JD5,440082.499,5948614.205,53.68281078,96
Hooksielplate,443760.6891,5947048.328,53.66914644,97
So07JD4,442412.5178,5944855.663,53.64929333,98
Vosslapp,442263.2649,5940579.912,53.61084886,99
So07JD3,445490.2148,5939441.769,53.60096541,100
So07JD2,446040.9277,5934613.679,53.55762926,101
JadeI2,446187.4251,5930043.303,53.51656708,102
JadeI1,445863.5939,5930047.116,53.5165681,103
Jade,445850.084,5930047.149,53.516567,104
So07JD0,446394.6875,5927560.477,53.49427318,105
So07JD1,444359.5253,5929576.704,53.51218314,106
Wilhelmshaven,443750.6356,5929549.305,53.51187209,107
JadeII,447636.9851,5930499.872,53.52081701,108
Aussenweser,450321.3863,5953590.107,53.72860593,109
DwarsgatSoM2002,454279.9121,5952486.465,53.71904872,110
DwarsgatSU,454191.948,5952556.4387,53.7196699,111
Weser1,455086.6892,5950952.403,53.70533106,112
Weser7,468437.5641,5929115.375,53.51003341,113
Weser8,466965.7454,5927435.513,53.49484385,114
Weser9,466484.9705,5924894.629,53.4719751,115
