name,RW,HW,Latitude,StationNo
Roscoff,-443402.2971,5477654.112,48.73095014,1
StMalo,-312220.0887,5445685.925,48.6329538,2
StHelier_Jersey,-309334.2051,5507599.133,49.18328427,3
Cherbourg,-265657.6873,5554060.523,49.64995055,4
LeHavre,-144886.0848,5513777.56,49.43296355,5
Antifer,-138415.6506,5537426.091,49.64995885,6
Dieppe,-68880.4421,5563348.648,49.95033665,7
Boulogne,-25527.6702,5646753.247,50.7338591,8
Calais,-592.5973,5674190.249,51.00067778,9
Dunkerque,34953.2078,5679433.102,51.07729931,10
Nieuwpoort,59805.2944,5689317.114,51.18522326,11
Ostende,73423.8663,5696766.116,51.2621377,12
Blankenberge,88521.8471,5703739.304,51.33559383,13
Zeebruges,96249.7668,5707474.799,51.37454521,14
Terneuzen,140863.9349,5701630.051,51.35216055,15
Bath,167006.4961,5703794.135,51.38746468,16
Hansweert,151293.7843,5709669.819,51.43066772,17
Vlissingen,124897.3303,5710959.355,51.42537322,18
Westkapelle,113546.8835,5721642.109,51.51335995,19
Roompot_buiten,130880.9799,5731887.985,51.61667004,20
BrouwershavenscheGat8,142310.4441,5746637.073,51.75611701,21
Lichteiland_Goeree,133325.0674,5765219.67,51.91667159,22
Europlatform,107714.3123,5776478.223,51.99996697,23
Haringvliet,146674.725,5758673.258,51.86667164,24
Haringvlietsluizen,156850.6573,5756226.215,51.85110022,25
HoekvanHolland,163370.0887,5773192.428,52.00705378,26
Scheveningen,172679.3993,5786241.2,52.12952906,27
Noordwijk,179364.762,5801109.252,52.26667036,28
K13_Alpha,114023.0451,5911997.15,53.21666579,29
Ijmuiden,189747.997,5823980.186,52.47758976,30
Ijmuiden_Buitenhaven,195233.4735,5821776.97,52.46093173,31
Petten-zuid,203837.1135,5854846.757,52.76209335,32
Texel,214516.9417,5893758.213,53.11667238,33
Den_Helder,214643.853,5877017.889,52.96667092,34
Den_Oever,236563.1094,5876227.154,52.97079102,35
Kornwerderzand,253590.3453,5887261.712,53.07787358,36
Harlingen,258959.2278,5896808.891,53.16597472,37
Vlieland_haven,240154.7641,5912735.587,53.29997046,38
West_Terschelling,249190.1757,5918429.295,53.35539251,39
Terschelling,256551.2663,5928589.226,53.44997053,40
Nes,286336.3835,5924854.64,53.42937074,41
Wierumergronden,298910.3952,5934029.949,53.516673,42
Lauwersoog,313936.3735,5922275.594,53.41667511,43
Schiermannskoog,313879,5927694,53.46530135,44
Huibertgat,327833.8777,5938455.106,53.5666757,45
Nordseeboje_II,329447.33,6098041.21,54.99998043,46
FINO_I,341941.155,5987867.911,54.01485805,47
Borkum_S,345118.587,5938997.046,53.5769289,48
Borkum_F,350827.7065,5936646.762,53.55747402,49
Emshoern,356657.316,5927947.651,53.48096069,50
Dukegat,362233.735,5922511.921,53.43362132,51
Delfzijl,362168.602,5911369.503,53.33351236,52
Dwarsgat,375194.5994,5904157.106,53.27194728,53
Ditzum,385899.664,5909452.405,53.3219363,54
Herbrum,386987.425,5877096.126,53.03144055,55
Papenburg,390593.001,5885555.528,53.10820339,56
Leer_Ort,394901.874,5897353.524,53.21508397,57
Terborg,393229.143,5905656.506,53.28935733,58
Emssperrwerk,387232.722,5909317.326,53.32100822,59
Gandersum,387667.993,5909437.111,53.32217702,60
Emden,379145.3411,5911173.835,53.3359037,61
Knock,368848.4452,5910478.143,53.32720225,62
Norderney_Riffgat,378382.7643,5950911.994,53.69273825,63
Langeoog,401137.575,5953772.852,53.7232464,64
Bensersiel,405564.9226,5948917.705,53.68044026,65
Spiekeroog,413087.55,5956434.192,53.74928847,66
Wangerooge,429485.908,5962503.793,53.80631034,67
Wangerooge_Nord,429492.4278,5962510.21,53.80636889,68
Schillig,437088.3604,5950440.997,53.69887651,69
Vosslapp,442263.2649,5940579.912,53.61084886,70
Wilhelmshaven,443750.6356,5929549.305,53.51187209,71
Nordenham,466312.6198,5924058.42,53.46444794,72
Brake,465975.6994,5907719.938,53.3175682,73
Elsfleth,465410.755,5901759.458,53.26395511,74
Rechtenfleth,466778.399,5914790.268,53.38117125,75
Bremerhaven,471388.6257,5932985.842,53.54499149,76
Robbensuedsteert,463334.8729,5943517.67,53.63915218,77
Hooksielplate,443760.6891,5947048.328,53.66914644,78
Mellumplate,440199.1467,5958497.775,53.7716498,79
AlteWeser,442631.2109,5968666.713,53.86331315,80
Helgoland,428640.895,6001614.628,54.15765768,81
Elbe,442108.56,5983881.27,53.99998767,82
BakeZ,455104.2951,5985251.061,54.01359144,83
BakeA,455110.2817,5982006.354,53.98443089,84
GVogelsand,465702.0642,5983151.861,53.99553767,85
Scharhoern,465116.2879,5980312.995,53.96998398,86
Mittelgrund,476123.8894,5977122.229,53.94193146,87
Zehnerloch,477589.3106,5978629.623,53.95554519,88
Elbe_LZ4a,476987.257,5975414.046,53.92661768,89
Cuxhaven,481759.615,5969090.411,53.86997114,90
Elbe_LZ3,487221.991,5965017.994,53.83353114,91
Elbe_LZ2a,501399.399,5968933.228,53.86887704,92
Elbe_D4,524520.172,5960954.919,53.7965908,93
Elbe_D3,531367.287,5951558.545,53.7117687,94
Grauerort,532690.673,5947800.186,53.67790721,95
Elbe_D2,537664.628,5940062.939,53.60802994,96
Elbe_D1,544511.821,5935414.578,53.56571387,97
Geesthacht,588055.125,5920433.5,53.42559033,98
Bunthaus,570711.4375,5924163,53.46171859,99
StPauli,564272.985,5933413.961,53.54568547,100
Blankenese,552637.875,5934496,53.55670575,101
Seemannshoeft,558373.4375,5932927.5,53.54200232,102
Glueckstadt,526952.927,5959628.059,53.78454466,103
Elbe_LZ1,511512.444,5969461.81,53.87350217,104
Brunsbuettel,508099.857,5970552.088,53.88336616,105
Buesum,490909.3717,5996767.28,54.11896899,106
Eidersperrwerk_AP,489705.193,6013125.032,54.26596312,107
Husum,500107.5938,6036845.0001,54.47924655,108
Schluettsiel,483609.1984,6059438.405,54.68202789,109
Dagebuell,479848.7153,6064852.262,54.73054434,110
Wyk_Foehr,473495.2287,6060198.138,54.68842475,111
Wittduen,460816.2559,6053977.66,54.63169809,112
Hoernum,455052.029,6067822.448,54.75562986,113
Hoernum_Hafen,455098.5819,6068094.059,54.75807475,114
Hoernum_West,452949.4377,6068139.049,54.75828234,115
Westerland,428579,6095359.95,54.99998614,116
List,464815.8151,6096980.525,55.01842815,117
List_West,459806.8168,6099230.647,55.03826797,118
Esbjerg,464181.2465,6146867.676,55.4666502,119
Hvidesande,443041.8652,6206103.197,55.99683103,120
Thorsminde,443808.709,6247400.783,56.3679206,121
Ferring,443557.8757,6265869.448,56.5337973,122
Thyboron,448372.0388,6286301.316,56.71789125,123
Hanstholm,475783.3245,6330441.69,57.1166477,124
Fredericia,549751.2429,6156781.404,55.55450515,125
Fynshav,564262.2271,6097293.023,55.01833026,126
Mommark,568375.5512,6087855.764,54.93298924,127
LTKiel,582492.734,6039856.828,54.49960466,128
Slipshavn,619519.3585,6128501.366,55.28842198,129
Korsor,635309.0965,6133920.14,55.33299798,130
Rodbyhavn,651626.2495,6054946.524,54.61915287,131
Fehmarnbelt,638881.3172,6052406.591,54.60000855,132
Gedser,689616.0895,6050565.1,54.56699744,133
Kobenhaven,726312.072,6176674.693,55.68299866,134
Hornbaek,715628.5515,6222627.461,56.10000226,135
Anholt,653495.5748,6288502.574,56.71528526,136
Aarhus,586732.055,6278593.817,56.64346843,137
Vesteroe,615495.9643,6351699.655,57.29364646,138
Frederikshavn,594063.5398,6366706.798,57.43332055,139
Skagen,594737.4166,6398057.357,57.71468439,140
Hirtshals,557779.0157,6384588.866,57.59999052,141
Helgeroa,549025.1439,6531967.506,58.92459336,142
Tregde,415305.6544,6422278.496,57.93418292,143
Stavanger,297521.7155,6551547.718,59.05515947,144
Bergen,268514.6039,6694353.397,60.3194672,145
Lerwick,-51857.9625,6706327.284,60.11844671,146
Wick,-196343.8199,6538960.426,58.43073766,147
Moray_Firth,-259804.5358,6467341.732,57.69871893,148
Aberdeen,-166347.8386,6386284.9,57.13230915,149
Leith,-252608.517,6275904.679,56.03103015,150
NorthShields,-160566.2927,6145236.613,55.0121111,151
Whitby,-121157.0379,6080674.276,54.49078574,152
Immingham,-93718.0696,5973127.078,53.5690664,153
Cromer,-16299.0251,5894448.352,52.95010934,154
Lowestoft,7916.2391,5838400.673,52.47304403,155
